,Precio,Título,Combustible,Año,kilometraje,Cambio,Potencia,B
303,2599,Renault Megane 2008,Diésel,2008,200000,Manual,105,Diésel
304,12990,Renault Clio Business,Gasolina,2022,29000,Manual,91,Gasolina
305,25990,Renault Arkana Techno,Gasolina,2023,20000,Automático,140,Gasolina
306,16490,Renault Captur Zen TCe GPF 96kW 130CV,Gasolina,2019,36701,Manual,130,Gasolina
307,2100,Renault Megane 2008,Diésel,2008,295296,Manual,105,Diésel
308,2450,Renault Megane 2005,,2005,176000,Manual,135,
309,34700,Renault Austral Techno ETech Full Hybrid 200CV,Gasolina,2023,614,Automático,200,Hybrid
310,11790,Renault Megane 1.5 DCI BLUE BUSINESS 85 KW,Diésel,2018,122757,Manual,116,Diésel
311,7500,Renault Master 2010,Diésel,2010,355000,Manual,120,Diésel
312,8677,Renault Kangoo Profesional dCi 55 kW (75 CV),Diésel,2019,105190,Manual,75,Diésel
313,13890,Renault Megane S.T. 1.5 DCI BLUE ZEN 85 KW,Diésel,2019,116207,Manual,116,Diésel
314,6000,Renault Laguna 2008,Diésel,2008,194,,130,Diésel
315,12990,Renault Megane ST SPORT TOURER ENERGY DCI 110 AUTOMATIC,Diésel,2018,132551,Automático,110,Diésel
316,13900,Renault Clio 2021,Otros,2021,70000,Manual,101,Otros
318,7690,Renault Kangoo 1.5 DCI PROFESIONAL GEN5 55 KW,Diésel,2016,90462,Manual,75,Diésel
319,8490,Renault Kangoo PROFESIONAL DCI 55 KW (75CV) EURO 6,Diésel,2018,119207,Manual,75,Diésel
320,7990,Renault Kangoo PROFESIONAL DCI 55 KW (75CV) EURO 6,Diésel,2018,127747,Manual,75,Diésel
321,7990,Renault Kangoo PROFESIONAL DCI 55KW (75CV) EURO 6,Diésel,2018,129740,Manual,75,Diésel
322,16000,Renault Captur 2020,Diésel,2020,108000,Manual,90,Diésel
323,2250,Renault Megane,Diésel,2006,224000,Manual,105,Diésel
324,1200,Renault Kangoo 2003,Diésel,2003,280000,Manual,65,Diésel
325,12900,Renault Megane tourer 115cv dci *GARANTIA*,Diésel,2019,100420,Manual,115,Diésel
326,20000,Renault Talisman 2016,Gasolina,2016,54000,Automático,150,Gasolina
327,8490,Renault Clio 1.5 DCI SS ENERGY BUSINESS 55 KW,Diésel,2018,133650,Manual,75,Diésel
328,2100,Renault Scenic 2004,Diésel,2004,130000,Manual,120,Diésel
329,15999,Renault Trafic 145 dci Mixto 6,Diésel,2018,145000,Manual,145,Diésel
330,14297,Renault Kangoo Furgón L1 1.5 Blue dCi 70kW (95CV),Diésel,2022,12480,Manual,95,Diésel
331,5900,Renault Megane 2009,Diésel,2009,242000,Manual,130,Diésel
332,16499,Renault Master 135 L2H2,Diésel,2020,140000,Manual,135,Diésel
333,3500,Renault Clio 2008,Diésel,2008,230471,Manual,75,Diésel
334,1500,Renault Megane 2006,Diésel,2006,317676,Manual,130,Diésel
335,12499,Renault Kangoo Profesional Maxi 5p dCi 110 CV,Diésel,2019,170000,Manual,110,Diésel
336,12999,Renault Talisman 2018,Diésel,2018,119000,Manual,110,Diésel
337,1200,Renault Clio 2005,Diésel,2005,298000,Manual,105,Diésel
338,11890,Renault Clio Business,Otros,2019,81693,Manual,90,Otros
339,21200,Renault Mégane GT Energy TCe 151kW (205CV) EDC,Gasolina,2018,58921,,205,Gasolina
340,1500,Renault Clio 2001,Gasolina,2001,189700,Manual,75,Gasolina
341,6950,Renault Clio 2016,Diésel,2016,185000,Manual,90,Diésel
342,4500,Renault Megane 2009,Diésel,2009,198000,Manual,105,Diésel
343,11240,Renault Clio Business Blue dCi 63 kW (85CV),Diésel,2020,80937,Manual,85,Diésel
344,5980,Renault Clio Business Energy dCi 55kW (75CV),Diésel,2016,160000,Manual,75,Diésel
345,13990,Renault Scénic Intens Energy dCi 81kW (110CV),Diésel,2017,84744,Manual,110,Diésel
346,30990,Renault Austral Techno Esprit Alpin Mild Hybrid 116kW AT,,2022,9500,Automático,158,Hybrid
347,10990,Renault Megane Business Blue dCi 81 kW (115CV),Diésel,2019,95300,Manual,115,Diésel
348,175,RENAULT MEGANE MÉGANE 1.2 TCE ENERGY LIMITED 100CV,Gasolina,2018,98692,Manual,101,Gasolina
349,11157,Renault Kangoo combi Profesional M1 Blue dCi 70 kW (95 CV),Diésel,2020,94620,Manual,95,Diésel
350,16611,Renault Trafic Furgón 27 L1H1 Energy BluedCi 88KW,Diésel,2020,96076,Manual,120,Diésel
351,16198,Renault Trafic Furgón 27 L1H1 Energy BluedCi 88KW,Diésel,2020,117344,Manual,120,Diésel
352,16115,Renault Trafic Furgón 27 L1H1 Energy BluedCi 88KW,Diésel,2020,106325,Manual,120,Diésel
353,16198,Renault Trafic Furgón 27 L1H1 Energy BluedCi 88KW,Diésel,2020,98534,Manual,120,Diésel
354,8900,Renault Captur 2014,Gasolina,2014,125000,Manual,90,Gasolina
355,8500,Renault Kangoo 2017,Diésel,2017,192,Manual,90,Diésel
356,18925,Renault Master Furgon Furgón Blue dCi L3H2 3500 T 99kW,Diésel,2020,129541,Manual,135,Diésel
357,124,RENAULT KANGOO FURGON PROFESIONAL DCI 55KW (75CV) EURO 6,Diésel,2018,131397,Manual,75,Diésel
358,1450,Renault Laguna 2004,Diésel,2004,230000,Manual,120,Diésel
359,8700,Renault Clio 2017,Diésel,2017,146000,Manual,90,Diésel
360,1600,Renault Laguna 2005,Diésel,2005,241174,Manual,120,Diésel
361,14214,Renault Kangoo Furgón L1 1.5 Blue dCi 70kW (95CV),Diésel,2022,18932,Manual,95,Diésel
362,14297,Renault Kangoo Furgón L1 1.5 Blue dCi 70kW (95CV),Diésel,2022,18504,Manual,95,Diésel
363,2160,Renault Laguna 2007,Gasolina,2007,185631,Manual,110,Gasolina
364,4200,Renault Megane 2007,Diésel,2007,200000,Manual,150,Diésel
365,9499,Renault Clio V Business 1.5 DCI 85CV,Diésel,2021,217000,Manual,85,Diésel
366,2900,✅Renault Megane 2008✅220.000 km✅Pegatina Ambiental,Diésel,2008,220000,Manual,105,Diésel
368,14490,Renault Kangoo PROFESIONAL 80CV,Diésel,2021,59000,Manual,80,Diésel
369,13990,Renault Kangoo PROFESIONAL 80CV,Diésel,2020,68000,Manual,80,Diésel
370,14490,Renault Kangoo PROFESIONAL 80CV,Diésel,2021,37000,Manual,80,Diésel
371,1100,Renault Grand Scenic 2007,Diésel,2007,259000,Manual,130,Diésel
372,2600,Renault Megane 2003,Gasolina,2003,174000,Manual,115,Gasolina
373,304,RENAULT MEGANE MÉGANE S.T. 1.5 DCI BLUE ZEN 85 KW,Diésel,2019,116207,Manual,116,Diésel
374,24710,Renault Trafic Combi M1 2.0DCI Energy Blue Authentic 81kw (110CV),Diésel,2023,48809,Manual,110,Diésel
375,24710,Renault Trafic Combi M1 2.0DCI Energy Blue Authentic 81kw (110CV),Diésel,2023,57854,Manual,110,Diésel
376,24710,Renault Trafic Combi M1 2.0DCI Energy Blue Authentic 81kw (110CV),Diésel,2023,55860,Manual,110,Diésel
377,6528,Renault Kangoo Profesional 2014 dCi 75 Gen5 furgón derivado de turismo 55KW (75CV),Diésel,2016,141517,Manual,75,Diésel
378,15000,Renault Megane 1.5 BLUE DCI LIMITED + 85KW 115 5P,Diésel,2019,74105,Manual,115,Diésel
379,18490,Renault Captur Zen TCe 140 EDC GPF Micro Híbrido - 5 P (2021),,2021,26977,Automático,140,Hybrid
380,32990,Renault Espace Ini. P. Blue dCi 139 kW (190CV) EDC -SS,Diésel,2022,98808,Automático,190,Diésel
381,20900,Renault Megane Renault Sport Line TCe 103 kW (140 CV) GPF,Gasolina,2021,24217,Manual,140,Gasolina
382,12399,Renault Talisman 2017 123.500 km NEGOCIABLEE,Diésel,2018,124000,Manual,110,Diésel
383,192,RENAULT KANGOO FURGON PROFESSIONAL 1.5 DCI 75CV MT5 E6,Diésel,2017,106990,Manual,75,Diésel
384,8750,Renault Megane GT Style Energy TCe 115 cv SS eco2,Gasolina,2013,106000,Manual,115,Gasolina
385,19752,Renault Master Furgon Furgón T L3H2 3500 Bl dCi 100kW (135CV),Diésel,2020,143350,Manual,135,Diésel
386,9490,Renault Megane Limited Energy dCi 81 kW (110 CV),Diésel,2015,121462,Manual,110,Diésel
387,30990,Renault Austral Techno Esprit Alpin Mild Hybrid 116kW AT,,2022,9500,Automático,158,Hybrid
388,12500,RENAULT Kadjar Kadjar 1.2 TCe Energy Zen 97kW,Gasolina,2017,129000,,130,Gasolina
389,1200,Renault Kangoo 2003,Diésel,2003,280000,Manual,65,Diésel
390,393,RENAULT GRAND SCENIC GRAND SCÉNIC 5P MONOVOLUME BUSINESS 7P ENERGY DCI 110,Diésel,2018,113775,Manual,110,Diésel
391,27890,Renault Clio RS Trophy Energy 220CV EDC,Gasolina,2018,62400,Automático,220,Gasolina
392,7499,Renault Kangoo N1AF En. dCi 66kW 90CV E6 5p.,Diésel,2019,178000,Manual,90,Diésel
393,10990,Renault Clio Business Energy dCi 66kW (90CV),Diésel,2017,81300,Manual,90,Diésel
394,2000,Renault Megane,Diésel,2009,420000,Manual,130,Diésel
395,18990,Renault Kadjar Limited GPF TCe 103kW (140CV),Gasolina,2021,58341,Manual,140,Gasolina
396,8999,Renault Clio 2018,Diésel,2018,107000,Manual,75,Diésel
397,22500,Renault Captur 1.6 E-TECH 105KW ZEN FAST TRACK 145 5P,Gasolina,2022,30986,Automático,145,Gasolina
398,16000,Renault Kadjar 1.5 DCI ENERGY TECH ROAD EDC 81KW 110 5P,Diésel,2017,86386,Manual,110,Diésel
399,20990,Renault Arkana Zen TCe 103kW(140CV) EDC Microhíbrido,,2021,45690,Automático,140,Hybrid
400,4499,Renault Megane 2009,Diésel,2009,198000,Manual,105,Diésel
401,700,Renault Laguna 1997,Gasolina,1997,300000,Manual,115,Gasolina
402,12990,RENAULT Kangoo Profesional 1.5 dCi 75 CV,Diésel,2020,98000,Manual,75,Diésel
403,19900,Renault Trafic L1H1 95cv,Diésel,2019,94000,Manual,95,Diésel
404,14990,Renault Captur Captur TCe Intens 74kW,Gasolina,2020,128977,Manual,100,Gasolina
405,18990,Renault Renault 2016,Diésel,2016,160000,Automático,160,Diésel
406,9990,Renault Clio 2018,Gasolina,2018,100460,Manual,90,Gasolina
407,6000,Renault Clio 2013,Diésel,2013,286000,Manual,90,Diésel
408,19990,Renault Grand Scenic Zen TCe GPF 117 kW (160 CV) EDC,Gasolina,2019,81808,Automático,160,Gasolina
409,800,Renault Clio 1998,Gasolina,1998,124,Manual,57,Gasolina
410,18490,Renault Captur Zen TCe 140 EDC GPF Micro Híbrido - 5 P (2021),,2021,26977,Automático,140,Hybrid
412,2300,Renault Megane 2005,Diésel,2005,199999,Manual,105,Diésel
413,13390,Renault Captur Captur TCe Energy Zen 66kW,Gasolina,2018,80903,Manual,90,Gasolina
414,7990,Renault Kangoo 2019,Diésel,2019,212000,Manual,75,Diésel
415,15400,Renault Clio 2009,Gasolina,2009,159000,Manual,203,Gasolina
416,5000,Renault Megane 2010,Diésel,2010,228000,Manual,105,Diésel
417,2100,Renault Megane 2006,Diésel,2006,200000,Manual,105,Diésel
418,18000,Renault Kadjar 2019,Gasolina,2019,85000,Manual,140,Gasolina
419,3400,Renault monovolumen 7 plazas,Diésel,2006,184000,Manual,105,Diésel
420,15990,Renault Clio Clio TCe GPF Zen EDC 96kW,Gasolina,2020,30300,Automático,130,Gasolina
421,3000,Renault Kangoo 2010,Diésel,2010,329000,Manual,85,Diésel
422,650,Renault Megane 2000,Diésel,2000,189000,Manual,100,Diésel
423,10990,Renault Kangoo FURGON DCI AÑO 2019,Diésel,2019,89500,Manual,90,Diésel
424,1800,Renault Clio 2002,,2002,170000,Manual,75,
425,10490,Renault Clio Clio 1.5dCi Energy Business 55kW,Diésel,2019,118822,Manual,75,Diésel
426,12500,Renault Twingo Electric 2020,Eléctrico,2020,58000,Automático,82,Eléctrico
427,14990,Renault Kadjar Kadjar 1.2 TCe Energy Zen 97kW,Gasolina,2017,76432,Manual,130,Gasolina
428,25690,Renault Arkana Arkana 1.6 E-Tech Zen 105kW,Eléctrico,2022,28108,Automático,145,Eléctrico
429,14590,Renault Mégane Mégane 1.5dCi Energy Zen 81kW,Diésel,2017,85033,Manual,110,Diésel
430,13990,Renault Mégane Mégane 1.5dCi Energy Zen 81kW,Diésel,2017,94366,Manual,110,Diésel
431,13990,Renault Mégane Mégane 1.5dCi Energy Zen 81kW,Diésel,2017,83190,Manual,110,Diésel
432,10490,Renault Kangoo Kangoo Fg. 1.5dCi Profesional 55kW,Diésel,2018,40075,Manual,75,Diésel
433,13690,Renault Scénic Scénic 1.3 TCe GPF Limited 103kW,Gasolina,2019,146762,Manual,140,Gasolina
434,1800,Renault Clio 2002,Diésel,2002,96100,Manual,65,Diésel
435,7999,RENAULT Mégane 130CV GTline,Diésel,2013,145000,Manual,130,Diésel
436,5000,Renault Twingo 2013,,2013,170000,Manual,75,
437,750,Renault Clio 2000,Diésel,2000,360000,Manual,65,Diésel
438,15490,RENAULT CLIO ZEN ENERGY DCI 85CV,Diésel,2020,28355,Manual,85,Diésel
439,2200,Renault Laguna 2006,Diésel,2006,194000,Manual,120,Diésel
440,24990,RENAULT CAPTUR TECHNO 140CV MILD HYBRID,Otros,2024,5,Manual,140,Hybrid
441,17990,Renault Kadjar ZEN ENERGY TCE 130CV,Gasolina,2017,67265,Manual,130,Gasolina
442,7000,Renault Kangoo 2017,Diésel,2017,80000,Manual,75,Diésel
443,1300,Renault Megane 2004,Gasolina,2004,226804,Manual,1164,Gasolina
444,9499,Renault Grand Scenic 2010,Gasolina,2010,159000,Automático,143,Gasolina
445,11999,Renault Grand Espace 2012,Diésel,2012,175000,Automático,175,Diésel
446,21900,Renault Trafic Furgon 27 L1H1 2.0 BluedCi 120CV,Diésel,2021,99000,Manual,120,Diésel
447,9990,Renault Clio Clio 1.5dCi SS Energy Business 55kW,Diésel,2018,113000,Manual,75,Diésel
448,9490,Renault Clio Clio 1.5dCi SS Energy Business 55kW,Diésel,2018,103721,Manual,75,Diésel
449,32990,Renault Austral Austral 1.2 E-Tech Híbrido Techno 146kW,Eléctrico,2024,5,Automático,200,Hybrid
450,23990,Renault ZOE 51 kW EXPERIENCE ELECTRICO AÑO 2020,Eléctrico,2020,22828,Automático,110,Eléctrico
451,17990,RENAULT GRAND SCENIC TCE 140CV 7 PLAZAS,Gasolina,2019,82050,Manual,140,Gasolina
452,19990,Renault ZOE LIMITED 40 R 110 FLEXI ELECTRICO,Eléctrico,2020,80000,Automático,110,Eléctrico
453,18500,Renault Captur Zen dCi 66 kW (90 CV),Diésel,2020,39657,Manual,90,Diésel
454,11200,RENAULT Talisman dCi 160 CV EDC Energy Init.Paris 4C.,Diésel,2016,235000,Manual,160,Diésel
455,35900,Renault Trafic Combi M1 2.0DCI Energy Blue Authentic (110CV),Diésel,2023,26830,Manual,110,Diésel
456,5900,Renault Megane 2006,Diésel,2006,132000,Manual,130,Diésel
457,13990,Renault ZOE R110 Bateria 40kWh Life,Eléctrico,2017,15821,Automático,110,Eléctrico
458,9750,Renault Scenic Dynamique Energy dCi 81 kW (110 CV),Diésel,2013,65018,Manual,110,Diésel
459,222,RENAULT KANGOO FURGON PROFESIONAL DCI 55 KW (75 CV),Diésel,2020,90116,Manual,75,Diésel
460,10400,Renault Scenic Selection Energy Tce 85 kW (115 CV),Gasolina,2015,116141,Manual,115,Gasolina
461,16990,Renault Trafic Trafic Furgón 27 L1H1 dCi 70kW,Diésel,2017,127071,Manual,95,Diésel
462,1100,Renault Espace 2005,Diésel,2005,300000,Manual,120,Diésel
463,12636,Renault Clio Zen Energy dCi 81 kW (110 CV),Diésel,2018,87323,Manual,110,Diésel
464,300,Renault ZOE R110 Bateria 40kWh Life,Eléctrico,2017,15500,Automático,80,Eléctrico
465,10150,Renault Captur Zen Energy TCe 66 kW (90 CV),Gasolina,2013,82272,Manual,90,Gasolina
466,4000,RENAULT MEGANE COUPE CABRIO 2.0 i 165CV,Gasolina,2005,238100,Manual,165,Gasolina
467,18636,Renault Captur Zen Blue dCi 85 kW (115 CV),Diésel,2021,34624,Manual,115,Diésel
468,16355,Renault Scenic Zen TCe 103 kW (140 CV) GPF,Gasolina,2019,71315,Manual,140,Gasolina
469,16355,Renault Megane Limited TCe 103 kW (140 CV) GPF,Gasolina,2019,18439,Manual,140,Gasolina
470,15445,Renault Clio Zen Blue dCi 85 kW (115 CV),Diésel,2021,57014,Manual,115,Diésel
471,8850,Renault Scenic 1.2 TCE LTD 115cv 5P S/S,Gasolina,2015,111600,Manual,115,Gasolina
472,11318,Renault Megane Intens Energy TCe 97 kW (130 CV),Gasolina,2016,85610,Manual,130,Gasolina
473,36500,RENAULT MEGANE E-TECH 100% ELECTRICO 220CV,Eléctrico,2023,2715,Automático,220,Eléctrico
474,15238,Renault Kadjar Zen Blue dCi 85 kW (115 CV),Diésel,2020,89250,Manual,115,Diésel
475,15727,Renault Captur Zen TCe 96 kW (130 CV) GPF,Gasolina,2020,63604,Manual,130,Gasolina
476,15445,Renault Megane Bose Energy dCi 96 kW (130 CV),Diésel,2018,73607,Manual,130,Diésel
477,12682,Renault Kadjar Xmod Energy dCi 81 kW (110 CV),Diésel,2016,128277,Manual,110,Diésel
478,19536,Renault Kadjar Zen TCe 103 kW (140 CV) GPF,Gasolina,2021,14142,Manual,140,Gasolina
479,15182,Renault Kadjar Zen Energy TCe 96 kW (130 CV),Gasolina,2018,76239,Manual,130,Gasolina
480,19000,Renault Kadjar Zen Blue dCi 85 kW (115 CV),Diésel,2021,24408,Manual,115,Diésel
481,10300,Renault Grand Scenic Selection Energy TCe 85 kW (115 CV),Gasolina,2015,152138,Manual,115,Gasolina
482,12490,Renault Clio Limited dCi 55kW (75CV) -18,Diésel,2020,69542,Manual,75,Diésel
483,245,RENAULT CLIO 1.5 DCI SS ENERGY BUSINESS 55KW,Diésel,2018,91397,Manual,75,Diésel
484,10300,Renault Grand Scenic Limited Energy dCi 81 kW (110 CV),Diésel,2015,141473,Manual,110,Diésel
485,11990,Renault Clio Business TCe 67 kW (90CV),Gasolina,2022,16230,Manual,90,Gasolina
486,14390,Renault Kangoo M1 Kangoo Combi 1.5dCi Blue Profesional 70kW,Diésel,2020,101979,Manual,95,Diésel
487,14490,Renault Kadjar Limited TCe 97kW (130CV),Gasolina,2018,69840,Manual,130,Gasolina
488,17990,Renault Kadjar ZEN 1.3 TCE 140 CV EXTENDED GRIP,Gasolina,2019,56415,Manual,140,Gasolina
489,13990,Renault Kangoo M1 Kangoo Combi 1.5dCi Blue Profesional 70kW,Diésel,2020,67745,Manual,95,Diésel
490,36500,RENAULT MEGANE E-TECH 100% ELECTRICO 220CV,Eléctrico,2023,2710,Automático,220,Eléctrico
491,15990,Renault Clio Intens TCe 74 kW (100CV),Gasolina,2020,28969,Manual,100,Gasolina
492,15363,Renault Clio RS Line TCe 74 kW (100 CV),Gasolina,2020,83611,Manual,100,Gasolina
493,4500,Renault Clio 2013,Diésel,2013,253700,Manual,80,Diésel
494,14045,Renault Captur Zen Energy TCe 88 kW (120 CV) EDC,Gasolina,2018,56219,Automático,120,Gasolina
495,18364,Renault Grand Scenic Zen Energy TCe 118 kW (160 CV),Gasolina,2018,76846,Manual,160,Gasolina
496,14818,Renault Scenic dCi 110 Zen Energy 81 kW (110 CV),Diésel,2017,92248,Manual,110,Diésel
497,19273,Renault Kadjar Intens Blue dCi 85 kW (115 CV) EDC,Diésel,2020,35236,Automático,115,Diésel
498,12500,Renault Captur Zen Energy TCe 88 kW (120 CV) EDC,Gasolina,2016,88888,Automático,120,Gasolina
499,6200,Renault Kangoo Furgon Profesional Compact dCi 55 kW (75 CV),Diésel,2019,86000,Manual,75,Diésel
500,9490,Renault Scenic dCi Selection Energy Eco2 81 kW (110 CV),Diésel,2014,72434,Manual,110,Diésel
501,8750,Renault Scenic 1.9 dCi Family Edition 96 kW (130 CV),Diésel,2010,134233,Manual,130,Diésel
502,12990,Renault Clio Business TCe 66kW (90CV) GLP -18,Otros,2019,42993,Manual,90,Otros
503,12990,Renault Clio Business TCe 66kW (90CV) GLP -18,Otros,2019,34442,Manual,90,Otros
504,24710,Renault Trafic Combi M1 2.0DCI Energy Blue Authentic 81kw (110CV),Diésel,2023,50856,Manual,110,Diésel
505,24710,Renault Trafic Combi M1 2.0DCI Energy Blue Authentic 81kw (110CV),Diésel,2023,56639,Manual,110,Diésel
506,16545,Renault Clio Zen TCe 96 kW (130 CV) GPF EDC,Gasolina,2019,61664,Automático,130,Gasolina
507,6500,Renault Kangoo 2019,Diésel,2019,200000,Manual,75,Diésel
508,6000,Renault ZOE 2015,,2015,124000,Automático,88,Eléctrico
509,15990,Renault Kadjar Zen Blue dCi 85kW (115CV),Diésel,2020,117864,Manual,115,Diésel
510,13490,Renault Captur Zen Blue dCi 70kW (95CV),Diésel,2020,68633,Manual,95,Diésel
511,9490,Renault Twingo Le Coq Sportif TCe 68 kW (95CV),Gasolina,2020,25900,Manual,93,Gasolina
512,27990,RENAULT Arkana RS Line ETECH Hibrido 105kW145CV 5p,Otros,2022,41385,Automático,145,Hybrid
513,1900,Renault Megane 2008,Diésel,2008,214600,Manual,105,Diésel
514,19490,Renault Captur Zen TCe 74kW (100CV) GLP,Otros,2020,67694,Manual,100,Otros
515,2200,Renault Megane 2004,Diésel,2004,160300,Manual,100,Diésel
516,11990,Renault Clio Business TCe 67 kW (90CV),Gasolina,2022,16230,Manual,90,Gasolina
517,15990,Renault Clio Intens TCe 74 kW (100CV),Gasolina,2020,28969,Manual,100,Gasolina
518,19545,Renault Espace TCe 200 Zen Energy EDC 147 kW (200 CV),Gasolina,2016,90069,Automático,200,Gasolina
519,13363,Renault Megane Sport Tourer Zen Energy dCi 96 kW (130 CV),Diésel,2018,134173,Manual,130,Diésel
520,16500,Renault Captur 1.0 TCE 100 LPG INTENS 100 5P,Otros,2021,42350,Manual,100,Otros
521,7400,Renault Clio 2013,Diésel,2013,116360,Manual,90,Diésel
522,1500,Renault Megane 2006,Diésel,2006,370000,Manual,105,Diésel
523,14981,Renault Clio Techno TCe 66 kW (90 CV),Gasolina,2023,8990,Manual,90,Gasolina
524,14690,Renault Kangoo Combi Dynamique M1-AF dCi 80 kW (110 CV),Diésel,2015,140672,Manual,110,Diésel
525,21364,Renault Captur Zen E-TECH Híbrido enchufable 118 kW (160 CV),Eléctrico,2021,41513,Automático,160,Hybrid
526,15636,Renault Scenic dCi 110 Zen Energy EDC 81 kW (110 CV),Diésel,2018,116648,Automático,110,Diésel
527,19545,Renault Captur Zen E-TECH Híbrido enchufable 118 kW (160 CV),Eléctrico,2020,79721,Automático,160,Hybrid
528,16490,Renault Clio Zen TCe GPF 96 kW (130CV) EDC,Gasolina,2020,67700,Automático,130,Gasolina
529,105,Renault Midlum 240 2010,Diésel,2010,635000,Manual,240,Diésel
530,35900,Renault Austral Iconic E-Tech Full Hybrid 147 kW (200 CV),Eléctrico,2023,8951,Automático,200,Hybrid
531,19000,Renault Grand Scenic Zen Blue dCi 110 kW (150 CV) EDC,Diésel,2019,92393,Automático,150,Diésel
532,10500,Renault Kangoo 1.5 DCI 55KW ENERGY PROFESIONAL N1 75 4P,Diésel,2019,114100,Manual,75,Diésel
533,17090,Renault Captur Techno TCe 66 kW (90 CV),Gasolina,2022,25895,Manual,90,Gasolina
534,12990,Renault Megane Zen Energy dCi 81kW (110CV) EDC,Diésel,2018,97464,Automático,110,Diésel
536,10900,Renault Captur Tce 90 eco año 2016,Gasolina,2016,128000,Manual,90,Gasolina
537,14809,Renault Megane Sport Tourer TCe 130 GT Energy 97 kW (130 CV),Gasolina,2017,85391,Manual,130,Gasolina
538,15500,Renault Master 2018,Diésel,2018,180000,Manual,130,Diésel
539,3700,Renault Megane 2007,Diésel,2007,180000,Automático,130,Diésel
540,23500,Renault Arkana 1.3 E-Tech RS-Line 4X2 145cv Auto 5P,Eléctrico,2022,29300,Automático,145,Eléctrico
541,15990,Renault Megane 1.5 DCI ENERGY BUSINESS 81KW 110CV 5P,Diésel,2017,112456,Manual,110,Diésel
542,11690,Renault Megane 1.2 TCE ENERGY LIMITED 100CV,Gasolina,2018,98692,Manual,101,Gasolina
543,11690,Renault Megane 1.2 TCE ENERGY LIMITED 100CV,Gasolina,2018,98692,Manual,101,Gasolina
544,17591,Renault Scenic Zen TCe GPF 103 kW (140 CV),Gasolina,2019,34356,Manual,140,Gasolina
545,2000,Se vende Renault Laguna 2002,Gasolina,2002,215000,Manual,135,Gasolina
546,1250,Renault Laguna 2004,Diésel,2004,303,Manual,120,Diésel
547,2190,Renault Megane 2007,Diésel,2007,300000,Manual,105,Diésel
549,16300,Renault Talisman 2.0 BLUE DCI ZEN EDC 118KW 160 4P,Diésel,2019,124785,Automático,160,Diésel
550,11490,Renault Captur Zen Energy dCi 66kW (90CV) eco2,Diésel,2017,99473,Manual,90,Diésel
551,7990,Renault Megane Coupé Limited Energy TCe 115 S&S eco2,Gasolina,2015,94113,Manual,115,Gasolina
552,20990,Renault Arkana E-Tech Engineered full hyb. 105kW(145CV),,2023,6500,Automático,145,
553,4990,Renault Megane 1.5dCI Dynamique 105cv 5P,Diésel,2010,265000,Manual,105,Diésel
554,17900,Renault Grand Scenic dCi 160 Edition One EDC 7 Plazas 118 kW (160 CV),Diésel,2017,99000,Automático,160,Diésel
555,9450,Renault Megane Limited Energy SANDS TCe 85 kW (115 CV),Gasolina,2015,122916,Manual,115,Gasolina
556,9990,Renault Kangoo Profesional dCi 55 kW (75 CV),Diésel,2020,90116,Manual,75,Diésel
557,15990,Renault Scenic 7 Plazas,Diésel,2017,109000,Manual,130,Diésel
558,12800,Renault Grand Kangoo 2017,Diésel,2017,70087,Manual,90,Diésel
559,9600,Renault Laguna Grand Tour Dynamique R-Link dCi 130 Energy 96 kW (130 CV),Diésel,2014,138100,Manual,130,Diésel
560,3700,Renault Grand Scenic 2013,Diésel,2013,390000,Manual,130,Diésel
561,1850,Renault Grand Scenic 2005,Diésel,2005,200000,Manual,120,Diésel
562,4000,Renault Megane 2008,Diésel,2008,281531,Manual,150,Diésel
563,9000,Renault Kangoo 2015,Diésel,2015,65000,Manual,75,Diésel
564,7700,Renault Clio 2019,Diésel,2019,143000,Manual,75,Diésel
565,16490,Renault Trafic Furgón 27 L1H1 Energy BluedCi 88 kW,Diésel,2020,98144,Manual,120,Diésel
566,22990,Renault Megane R.S.Line TCe 117 kW (160CV) EDC GPF,Gasolina,2022,28345,Automático,160,Gasolina
567,14990,Renault Kadjar Zen Energy dCi 96kW (130CV) - 5 P (2017),Diésel,2017,101743,Manual,130,Diésel
568,22900,Renault Captur 1.6 E-TECH 105KW ZEN FAST TRACK 145 5P,Gasolina,2022,22457,Automático,145,Gasolina
569,14950,Renault Master 2017,Diésel,2017,162838,Manual,130,Diésel
570,19490,Renault Espace 1.6 DCI ENERGY INTENS 7 PLAZAS,Diésel,2018,102565,Manual,130,Diésel
571,13490,Renault Talisman 1.6 DCI ENERGY INTENS 96 KW,Diésel,2017,133276,Manual,131,Diésel
572,3500,"Renault Clio 2004 5p, 1.5dCi, 65cv",Diésel,2004,115,Manual,65,Diésel
573,5300,RENAULT CLIO INDUSTRIAL SOCIETE ENERGY DCI 75CV,Diésel,2018,99000,Manual,75,Diésel
574,6000,Renault Clio 2022,Gasolina,2022,65000,Manual,91,Gasolina
575,14990,Renault Captur Zen TCe 66kW 90CV 5p.,Gasolina,2019,25000,Manual,90,Gasolina
576,1950,Renault Clio dci 82cv SÓLO 139000KM DIÉSEL ⛽ BAJO CONSUMO,Diésel,2003,139997,Manual,80,Diésel
577,650,Renault Scenic 2004,Diésel,2004,346788,Manual,120,Diésel
